,0,7.5,15,22.5,30,37.5,45,52.5,60,67.5,75,82.5,90,97.5,105,112.5,120,127.5,135,142.5,150,157.5,165,172.5,180,187.5,195,202.5,210,217.5,225,232.5,240,247.5,255,262.5,270,277.5,285,292.5,300,307.5,315,322.5,330,337.5,345,352.5
15.25,0.016002065,0.025437436,0.016029202,0.009263814,0.007398976,0.010649781,0.018132083,0.015266517,0.017618095,0.020155893,0.018090222,0.021947981,0.011220518,0.010352842,0.019247704,0.014751385,0.032016112,0.026355516,0.017664586,0.007055904,0.012727273,0.017092107,0.021673604,0.021993246,0.026787149,0.022248062,0.019242424,0.022987349,0.02581492,0.027180233,0.023201326,0.025610288,0.033515152,0.023053678,0.032105263,0.020495726,0.022566175,0.017437722,0.021885141,0.025288506,0.022629594,0.016103896,0.019228293,0.021022093,0.020412844,0.018659048,0.022427503,0.022757402
15.75,0.020454252,0.011615939,0.011744168,0.005574684,0.007398976,0.003310067,0.011332552,0.007676384,0.010155409,0.007873396,0.020532784,0.017574006,0.011296848,0.010352842,0.016354258,0.017197956,0.020001389,0.022833061,0.010499432,0.010545088,0.009440559,0.019549796,0.017702502,0.019049268,0.022369478,0.023255814,0.019772727,0.021108091,0.023002156,0.027296512,0.023487056,0.026727332,0.025818182,0.018224867,0.022335526,0.024522261,0.016984556,0.025622776,0.022866199,0.019872516,0.017366898,0.015151515,0.025022533,0.022985941,0.017477064,0.016650299,0.023236989,0.014803358
16.25,0.017421603,0.012277606,0.007062371,0.015904247,0.005610212,0.012304814,0.007112153,0.007762636,0.011924912,0.008975671,0.025036257,0.029368117,0.007861995,0.012817804,0.010001258,0.008850831,0.024446142,0.012831803,0.014614075,0.006125456,0.009440559,0.013908284,0.017271901,0.016235172,0.022771084,0.013565891,0.014848485,0.018423437,0.021814545,0.020959302,0.024772844,0.024357018,0.024212121,0.020997539,0.022927632,0.025875441,0.024826216,0.020782918,0.019923025,0.018414365,0.010481537,0.014155844,0.020687583,0.022539612,0.014495413,0.016159271,0.016475406,0.016294741
16.75,0.013227513,0.008307602,0.003650214,0.008280046,0.006504594,0.014823343,0.003595154,0.003967569,0.006847207,0.002676955,0.021754065,0.0186675,0.01526601,0.008028734,0.016417159,0.010433907,0.017779012,0.008554535,0.009719069,0.017600992,0.011188811,0.008881193,0.011387015,0.013291194,0.010401606,0.011395349,0.015037879,0.015503876,0.016282777,0.017325581,0.028258758,0.024901918,0.020333333,0.02436213,0.02375,0.018515463,0.017600931,0.021316726,0.015772395,0.013290005,0.012455048,0.010735931,0.013949097,0.016514171,0.008807339,0.01303455,0.018237227,0.009224481
17.25,0.019099239,0.011615939,0.006348199,0.000901787,0.002683145,0.01316831,0.002657288,0.014145248,0.006693337,0.002676955,0.007861995,0.012340858,0.021448744,0.014437636,0.01138508,0.008203209,0.010209042,0.009875456,0.005675369,0.005272544,0.013496503,0.006367648,0.008085738,0.016191878,0.010361446,0.009651163,0.009848485,0.012080942,0.0154702,0.016831395,0.022915595,0.020569965,0.02030303,0.019876009,0.016611842,0.017327305,0.016231209,0.017651246,0.008037129,0.010415365,0.010437681,0.008311688,0.015322546,0.017942424,0.015,0.011561468,0.011713728,0.016791869
17.75,0.008646277,0.007498897,0.000872877,0.001885555,0.004634523,0.004029647,0.005314576,0.007590133,0.014386829,0.004487836,0.007022365,0.010544404,0.010915197,0.007042749,0.006290099,0.007339714,0.010209042,0.002138634,0.010357548,0.005272544,0.007972028,0.005753226,0.006937467,0.012338731,0.01497992,0.012286822,0.009356061,0.009866103,0.011376067,0.01380814,0.020744043,0.016619442,0.020393939,0.013271441,0.016940789,0.014818971,0.017395473,0.01252669,0.011772696,0.009915427,0.009735988,0.010735931,0.015751749,0.010444097,0.012155963,0.007990358,0.010618542,0.012428193
18.25,0.006581494,0.006543155,0.002697984,0.002787342,0.003658834,0.000791538,0.005314576,0.006555115,0.009462994,0.002676955,0.007022365,0.006170429,0.004961453,0.004014367,0.012517298,0.001583075,0.0094451,0.007925525,0.008087401,0.000852912,0.004755245,0.00698207,0.002679298,0.011559442,0.011807229,0.00748062,0.012424242,0.011074197,0.009125856,0.01505814,0.020115435,0.02059721,0.019848485,0.0189414,0.01875,0.016139147,0.017292744,0.011209964,0.009697381,0.007624047,0.008376458,0.012813853,0.014936263,0.013702299,0.011880734,0.008079636,0.01123756,0.015521432
18.75,0.009356046,0.004999265,0.005475321,0.002787342,0.002764452,0,0.003282532,0.001897533,0.005231574,0.006298717,0.006106404,0.007029602,0.004274483,0.006338475,0.010315763,0.003957689,0.004653101,0.002138634,0.010499432,0.003489184,0.004755245,0.002569402,0.005980575,0.006364187,0.006827309,0.007868217,0.007727273,0.012919897,0.009907179,0.013430233,0.018172467,0.014058413,0.013606061,0.014268357,0.013651316,0.009934321,0.014964216,0.014377224,0.011470832,0.006624172,0.006402947,0.008225108,0.012403966,0.010399464,0.015504587,0.008972413,0.014951669,0.011047282
19.25,0.004323138,0.00419056,0.003650214,0.002787342,0.001788763,0,0.000859711,0.000948767,0.003462071,0.001810881,0.004350813,0.003592908,0,0,0.010567367,0.002446571,0.002361275,0.004340169,0.005675369,0.005272544,0.004755245,0.005082947,0.003301277,0.007403238,0.007710843,0.008333333,0.013636364,0.01010101,0.007625715,0.010232558,0.012457855,0.012859634,0.014060606,0.011713761,0.010690789,0.006567874,0.006985584,0.01252669,0.008452192,0.005624297,0.006929217,0.005324675,0.012275205,0.00740906,0.008669725,0.009418802,0.008999571,0.006628369
19.75,0.006387921,0.004117042,0.000872877,0.000901787,0.000894382,0,0,0.000948767,0,0.000866074,0.002595222,0,0.000839631,0,0.002012832,0.001655033,0.000763942,0.002893446,0.003263337,0.00178336,0.006363636,0.007037927,0.003827568,0.008702052,0.007309237,0.005620155,0.010681818,0.007047216,0.007375691,0.014127907,0.015372307,0.01097973,0.010212121,0.015296427,0.011546053,0.008053071,0.006506181,0.009608541,0.00641461,0.008373953,0.003376897,0.002424242,0.011030516,0.004998884,0.005642202,0.00553522,0.006999667,0.009114008
20.25,0,0.004117042,0.004523092,0,0.000894382,0,0,0.000948767,0,0,0.004350813,0,0.000839631,0,0.000691911,0.002446571,0.001597333,0.002138634,0.006455732,0.005272544,0.003916084,0.005753226,0.002200852,0.006364187,0.004056225,0.008410853,0.01030303,0.006074029,0.00693815,0.014127907,0.013457912,0.011824324,0.009212121,0.010062619,0.012894737,0.009274233,0.006574667,0.013701068,0.007622066,0.006999125,0.006929217,0.003809524,0.006223443,0.003436733,0.011376147,0.004017498,0.007571068,0.008064516
20.75,0.001419538,0,0.000872877,0.001803574,0,0,0.000859711,0,0,0.002676955,0.000839631,0,0,0,0.000691911,0.000791538,0.003194666,0.000691911,0,0.003489184,0.000769231,0.001899123,0.002200852,0.005325136,0.005381526,0.005736434,0.005606061,0.003792074,0.014907648,0.011918605,0.010886336,0.012423714,0.005060606,0.006293031,0.00625,0.010660418,0.007670445,0.009252669,0.007508867,0.004707745,0.002982195,0.004891775,0.00145929,0.003481366,0.009266055,0.00553522,0.002142755,0.00370084
21.25,0.003613369,0,0,0,0.000894382,0,0,0.000948767,0,0,0,0,0.000839631,0,0.001320921,0.000791538,0.001597333,0,0.000780363,0.007055904,0.002307692,0.000614422,0.005358595,0.007792883,0.003654618,0.005155039,0.00469697,0.004194772,0.012032378,0.012238372,0.008514772,0.0095085,0.008,0.009377239,0.007796053,0.007888049,0.007601959,0.008825623,0.006754207,0.001916427,0.005964389,0.003376623,0.001974334,0.002053113,0.006559633,0.005981609,0.002142755,0.002485639
21.75,0.000709769,0,0.001666402,0.000901787,0.000894382,0,0,0.000948767,0,0,0,0,0,0.000774702,0.002704743,0,0,0,0,0.00178336,0.000769231,0.003854103,0.003301277,0.004372673,0.002730924,0.003449612,0.006818182,0.003825632,0.00746945,0.008837209,0.006057489,0.005830427,0.006151515,0.006230724,0.004736842,0.003993531,0.004896757,0.01,0.004188363,0.00458276,0.002982195,0.004285714,0.002446457,0.005043517,0.006238532,0.000937416,0.001618971,0.001270437
22.25,0.000709769,0,0,0.000901787,0.000894382,0,0.000859711,0.000948767,0,0,0,0,0,0.00450736,0.001320921,0,0,0,0.001631669,0,0.002377622,0.001284701,0.002200852,0.002424452,0.003172691,0.006085271,0.003901515,0.003758515,0.00565678,0.007209302,0.006086062,0.007356146,0.006757576,0.006822642,0.005526316,0.003696492,0.007773174,0.005551601,0.002490378,0.002374703,0.003420753,0.001471861,0.005322117,0.004998884,0.003165138,0.001919471,0.002714156,0.002485639
22.75,0.000709769,0,0,0.000901787,0.000894382,0,0.002657288,0.000948767,0,0,0,0,0,0,0,0,0,0,0,0,0.000769231,0.001899123,0.002727142,0.002424452,0.002690763,0.003914729,0.002992424,0.003355817,0.003937869,0.007819767,0.0062575,0.004931343,0.003757576,0.003769588,0.002565789,0.002211294,0.00448584,0.003558719,0.0037733,0.000916552,0.000964828,0,0.0029615,0.002410176,0.00412844,0.001919471,0.00266654,0.001159965
23.25,0,0,0.000872877,0.000901787,0,0,0.000859711,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001608392,0.002513545,0.002631453,0.004415967,0.002248996,0.003527132,0.002954545,0.002684654,0.006281839,0.004622093,0.004657409,0.005857672,0.003242424,0.003520359,0.003651316,0.00217829,0.003732493,0.000782918,0.002075315,0,0.001008683,0,0.000987167,0.003035037,0.002614679,0,0.001095186,0.000607601
