 speed bin,sector bin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,7.5,15,22.5,30,37.5,45,52.5,60,67.5,75,82.5,90,97.5,105,112.5,120,127.5,135,142.5,150,157.5,165,172.5,180,187.5,195,202.5,210,217.5,225,232.5,240,247.5,255,262.5,270,277.5,285,292.5,300,307.5,315,322.5,330,337.5,345,352.5,
17.75,13.4,10.2,1.1,2.3,5.7,5.6,6.8,8.8,18.7,5.7,9.2,13.5,14.3,10,10,10.2,14.7,3.4,14.6,6.8,11.4,10.3,14.5,28.5,37.3,31.7,24.7,29.4,36.4,47.5,72.6,61,67.3,42.6,51.5,44.9,50.8,35.2,31.2,23.8,22.2,24.8,36.7,23.4,26.5,17.9,22.3,22.5,
18.25,10.2,8.9,3.4,3.4,4.5,1.1,6.8,7.6,12.3,3.4,9.2,7.9,6.5,5.7,19.9,2.2,13.6,12.6,11.4,1.1,6.8,12.5,5.6,26.7,29.4,19.3,32.8,33,29.2,51.8,70.4,75.6,65.5,60.8,57,48.9,50.5,31.5,25.7,18.3,19.1,29.6,34.8,30.7,25.9,18.1,23.6,28.1,
18.75,14.5,6.8,6.9,3.4,3.4,0,4.2,2.2,6.8,8,8,9,5.6,9,16.4,5.5,6.7,3.4,14.8,4.5,6.8,4.6,12.5,14.7,17,20.3,20.4,38.5,31.7,46.2,63.6,51.6,44.9,45.8,41.5,30.1,43.7,40.4,30.4,15.9,14.6,19,28.9,23.3,33.8,20.1,31.4,20,
19.25,6.7,5.7,4.6,3.4,2.2,0,1.1,1.1,4.5,2.3,5.7,4.6,0,0,16.8,3.4,3.4,6.9,8,6.8,6.8,9.1,6.9,17.1,19.2,21.5,36,30.1,24.4,35.2,43.6,47.2,46.4,37.6,32.5,19.9,20.4,35.2,22.4,13.5,15.8,12.3,28.6,16.6,18.9,21.1,18.9,12,
19.75,9.9,5.6,1.1,1.1,1.1,0,0,1.1,0,1.1,3.4,0,1.1,0,3.2,2.3,1.1,4.6,4.6,2.3,9.1,12.6,8,20.1,18.2,14.5,28.2,21,23.6,48.6,53.8,40.3,33.7,49.1,35.1,24.4,19,27,17,20.1,7.7,5.6,25.7,11.2,12.3,12.4,14.7,16.5,
20.25,0,5.6,5.7,0,1.1,0,0,1.1,0,0,5.7,0,1.1,0,1.1,3.4,2.3,3.4,9.1,6.8,5.6,10.3,4.6,14.7,10.1,21.7,27.2,18.1,22.2,48.6,47.1,43.4,30.4,32.3,39.2,28.1,19.2,38.5,20.2,16.8,15.8,8.8,14.5,7.7,24.8,9,15.9,14.6,
20.75,2.2,0,1.1,2.2,0,0,1.1,0,0,3.4,1.1,0,0,0,1.1,1.1,4.6,1.1,0,4.5,1.1,3.4,4.6,12.3,13.4,14.8,14.8,11.3,47.7,41,38.1,45.6,16.7,20.2,19,32.3,22.4,26,19.9,11.3,6.8,11.3,3.4,7.8,20.2,12.4,4.5,6.7,
21.25,5.6,0,0,0,1.1,0,0,1.1,0,0,0,0,1.1,0,2.1,1.1,2.3,0,1.1,9.1,3.3,1.1,11.2,18,9.1,13.3,12.4,12.5,38.5,42.1,29.8,34.9,26.4,30.1,23.7,23.9,22.2,24.8,17.9,4.6,13.6,7.8,4.6,4.6,14.3,13.4,4.5,4.5,
21.75,1.1,0,2.1,1.1,1.1,0,0,1.1,0,0,0,0,0,1.1,4.3,0,0,0,0,2.3,1.1,6.9,6.9,10.1,6.8,8.9,18,11.4,23.9,30.4,21.2,21.4,20.3,20,14.4,12.1,14.3,28.1,11.1,11,6.8,9.9,5.7,11.3,13.6,2.1,3.4,2.3,
22.25,1.1,0,0,1.1,1.1,0,1.1,1.1,0,0,0,0,0,6.4,2.1,0,0,0,2.3,0,3.4,2.3,4.6,5.6,7.9,15.7,10.3,11.2,18.1,24.8,21.3,27,22.3,21.9,16.8,11.2,22.7,15.6,6.6,5.7,7.8,3.4,12.4,11.2,6.9,4.3,5.7,4.5,
22.75,1.1,0,0,1.1,1.1,0,3.4,1.1,0,0,0,0,0,0,0,0,0,0,0,0,1.1,3.4,5.7,5.6,6.7,10.1,7.9,10,12.6,26.9,21.9,18.1,12.4,12.1,7.8,6.7,13.1,10,10,2.2,2.2,0,6.9,5.4,9,4.3,5.6,2.1,
23.25,0,0,1.1,1.1,0,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3,4.5,5.5,10.2,5.6,9.1,7.8,8,20.1,15.9,16.3,21.5,10.7,11.3,11.1,6.6,10.9,2.2,5.5,0,2.3,0,2.3,6.8,5.7,0,2.3,1.1,
23.75,0,0,0,0,0,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,1.1,10,5.6,5.7,6.8,6.8,12.5,12.6,10.1,17,5.5,4.5,6.8,9.7,6.7,5.4,4.6,0,2.2,3.2,0,8,3.4,2.3,0,0,
24.25,1.1,0,0,0,0,1.1,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.7,7.8,5.5,5.6,3.3,5.5,7.6,9.1,11.3,6.7,3.4,1.1,4.5,8.6,3.2,4.3,0,1.1,3.3,2.1,1.1,2.2,1.1,0,0,0,
24.75,0,0,0,0,0,2.3,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4,5.7,2.3,0,3.4,0,7.5,5.7,3.4,5.7,5.6,5.4,6.6,8.9,2.2,0,1.1,2.3,0,2.1,0,5.7,1.1,0,0,0,
25.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,3.4,1.1,1.1,8.8,1.1,5.5,9.8,0,2.2,1.1,2.2,0,3.3,6.7,2.1,4.6,0,0,2.2,0,0,4.5,2.3,0,1.1,1.1,
25.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0,0,1.1,1.1,3.4,0,4.6,11.9,4.4,3.3,4.6,0,0,1.1,4.5,3.3,1.1,2.3,1.1,0,1.1,0,0,1.1,0,0,0,
26.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0,0,0,2.2,3.4,2.3,1.1,2.2,1.1,5.5,2.2,0,2.1,5.5,3.4,0,1.1,0,1.1,0,0,1.1,1.1,0,0,1.1,
26.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0,1.1,2.3,1.1,2.1,0,0,1.1,0,0,1.1,1.1,6.7,0,4.3,0,0,0,0,0,0,1.1,0,0,0,0,
27.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,1.1,0,0,0,0,2.3,1.1,0,1.1,0,1.1,2.2,7.7,3.4,0,0,1.1,0,1.1,1.1,0,0,0,0,0,0,0,
27.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,1.1,0,0,2.3,1.1,0,1.1,1.1,0,0,0,1.1,2.1,2.2,1.1,0,1.1,1.1,0,0,1.1,0,0,0,0,0,0,
28.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,1.1,0,1.1,1.1,0,0,0,0,1.1,1.1,2.3,0,0,0,0,0,0,0,0,0,0,0,0,
28.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0,0,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
29.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0,1.1,2.3,0,0,0,0,0,0,0,0,0,2.3,0,0,0,0,0,0,
29.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,1549.8,1360.2,1260.2,1219.8,1229.9,1389.7,1279.5,1159.4,1299.8,1270.1,1310.1,1280.3,1310.1,1419.9,1589.8,1389.7,1439.9,1589.8,1409.6,1289.7,1430,1790.3,2090.1,2309.8,2490,2580,2640,2979.9,3199.7,3440,3499.8,3670.4,3300,3209.9,3040,3029.9,2920.3,2810,2650.2,2400.3,2280.2,2310,2329.9,2240.5,2180,2240.2,2100.1,1810.4,100019.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.003613369,0.00419056,0.002697984,0.001885555,0,0.002446571,0.000859711,0.000948767,0.001769503,0.001732147,0.000839631,0.001796454,0.005266774,0.002394535,0.002138634,0.001583075,0.001597333,0.000691911,0.0040437,0.000852912,0,0,0.001626716,0.000476232,0,0.000891473,0.001287879,0.000771838,0.000343782,0,0.000314304,0.00092633,0.000666667,0.002118446,0.001118421,0.001122149,0.001164264,0.001637011,0.000415063,0.000958214,0.001973511,0.001471861,0,0.001517518,0.003119266,0.001517722,0.001618971,0.001270437,0.0696772
,0.005097432,0.008307602,0.010791938,0.005574684,0.00821205,0.007339714,0.007112153,0.005865103,0.00861671,0.006298717,0.007709335,0.006170429,0.009541256,0.007183604,0.00572399,0.010577823,0.007014376,0.000691911,0.001560726,0.005272544,0.003146853,0.006367648,0.003253433,0.001948221,0.003654618,0.005232558,0.003409091,0.003758515,0.001781417,0.003662791,0.002285845,0.001852659,0.004090909,0.002461136,0.004407895,0.003300439,0.003835222,0.00202847,0.004301562,0.003791193,0.004429436,0.005367965,0.002446457,0.008123187,0.007247706,0.004017498,0.003761726,0.006241715,0.244868262
,0.007291263,0.010807234,0.008093953,0.011067388,0.015854948,0.009066705,0.011488863,0.008711402,0.005231574,0.014172112,0.016487291,0.007107709,0.011983818,0.019860554,0.007170713,0.010577823,0.014792694,0.009246446,0.01042849,0.011320462,0.003146853,0.006367648,0.006459021,0.004935492,0.003614458,0.003488372,0.004280303,0.004563912,0.004625434,0.00494186,0.00354306,0.005775937,0.005121212,0.003177669,0.003355263,0.005247698,0.007362257,0.006049822,0.003433703,0.007040787,0.00846417,0.008831169,0.00579424,0.003525999,0.009266055,0.009552719,0.005380696,0.015576668,0.38368392
,0.00651697,0.009925011,0.012617045,0.008362027,0.01577364,0.01136936,0.015865572,0.022597895,0.018233574,0.020470829,0.011373178,0.012340858,0.020838104,0.022255088,0.014844635,0.008994747,0.012570317,0.015725248,0.01511067,0.01496472,0.015874126,0.013182148,0.008085738,0.012295437,0.011285141,0.006162791,0.005909091,0.009530521,0.007063162,0.007587209,0.00485742,0.005803182,0.006151515,0.007383408,0.005921053,0.002607347,0.00660891,0.007651246,0.01018791,0.007582386,0.011841067,0.00978355,0.01158848,0.009015845,0.009357798,0.009017052,0.01271368,0.01369863,0.539495331
